stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
fontain,1273.0,0.0,1273.0,0.4888007919898861,4.0,
deluz,284.0,0.0,284.0,0.4753202518946688,4.0,
bouclans,218.0,0.0,218.0,0.4413779022496775,4.0,
tarcenay,397.0,0.0,397.0,0.48875442620188525,4.0,
la chevillotte,917.0,0.0,917.0,0.40596908519416236,4.0,
buthiers,829.0,0.0,829.0,0.4319357509636045,4.0,
moncey,450.0,0.0,450.0,0.4779234822591146,4.0,
cromary,505.0,0.0,505.0,0.34770870397586634,4.0,
aulx-ls-cromary,120.0,0.0,120.0,0.3814701080322266,4.0,
pin,1528.0,0.0,1528.0,0.3491970281950466,4.0,
la tour-de-say,529.0,0.0,529.0,0.45924559162334594,4.0,
pouilley-franais,339.0,0.0,339.0,0.391097887427406,3.0,
chaux-la-lotire,465.0,0.0,465.0,0.4052652338499664,4.0,
audeux,337.0,0.0,337.0,0.5114930829237759,4.0,
ecole-valentin,207.0,0.0,207.0,0.680738071312651,3.0,
gzier-et-fontenelay,1766.0,0.0,1766.0,0.36945440653091377,4.0,
chemaudin,743.0,0.0,743.0,0.5437023219317799,3.0,
dannemarie-sur-crte,316.0,0.0,316.0,0.6186470804335196,3.0,
cordonnet,37.0,0.0,37.0,0.5046098554456556,4.0,
auxon-dessous,544.0,0.0,544.0,0.468170306261848,3.0,
mrey-vieilley,127.0,0.0,127.0,0.49205443615049826,4.0,
mazerolles-le-salin,507.0,0.0,507.0,0.4260048048030695,4.0,
trpot,642.0,0.0,642.0,0.4629693432389019,4.0,
saone,1270.0,0.0,1270.0,0.5438628429502953,3.0,
vaux-les-pres,486.0,0.0,486.0,0.48140882955166536,4.0,
