diffDonnee -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
champvans-les-moulins,840.0,0.0,840.0,0.4235682532900856,4.0,
boult,1697.0,0.0,1697.0,0.4023860106414813,4.0,
amagney,2279.0,0.0,2279.0,0.380138469192217,4.0,
l'hpital-du-grosbois,1702.0,0.0,1702.0,0.38620934671296636,4.0,
valleroy,378.0,0.0,378.0,0.3408848595997644,4.0,
cussey-sur-l'ognon,2182.0,0.0,2182.0,0.41539422445183605,4.0,
torpes,1022.0,0.0,1022.0,0.4617281799913619,3.0,
sauvagney,1187.0,0.0,1187.0,0.4550780221606466,4.0,
pugey,1291.0,0.0,1291.0,0.44696423141278563,4.0,
arguel,869.0,0.0,869.0,0.46085718503892764,4.0,
marchaux,2750.0,0.0,2750.0,0.4408983487215909,4.0,
chevigney-sur-l'ognon,1142.0,0.0,1142.0,0.40317071757675677,4.0,
pouilley-les-vignes,3161.0,0.0,3161.0,0.4558626806686966,3.0,
vieilley,1446.0,0.0,1446.0,0.41051262608867134,4.0,
tuz,1384.0,0.0,1384.0,0.37824946056211617,4.0,
chalezeule,1015.0,0.0,1015.0,0.5673455900746613,3.0,
geneuille,1984.0,0.0,1984.0,0.4349474753102949,4.0,
morre,595.0,0.0,595.0,0.5293463186055672,3.0,
ruffey-le-chteau,2.0,0.0,2.0,0.36112910509109497,4.0,
venise,1350.0,0.0,1350.0,0.42966747142650463,4.0,
fontain,5625.0,0.0,5625.0,0.42332005208333334,4.0,
deluz,561.0,0.0,561.0,0.5468491606958835,4.0,
bouclans,1655.0,0.0,1655.0,0.35771775721063065,4.0,
tarcenay,2187.0,0.0,2187.0,0.44418701953303613,4.0,
la chevillotte,2547.0,0.0,2547.0,0.4224240048801286,4.0,
buthiers,1258.0,0.0,1258.0,0.4166085102220787,4.0,
moncey,1166.0,0.0,1166.0,0.4040389412672197,4.0,
chambornay-ls-pin,1522.0,0.0,1522.0,0.3884699216183476,4.0,
cromary,1300.0,0.0,1300.0,0.3576151686448317,4.0,
aulx-ls-cromary,1036.0,0.0,1036.0,0.4065193559212114,4.0,
pin,3781.0,0.0,3781.0,0.38894668655778897,4.0,
la tour-de-say,747.0,0.0,747.0,0.40826109614238204,4.0,
pouilley-franais,2073.0,0.0,2073.0,0.43396072645320793,3.0,
chaux-la-lotire,2443.0,0.0,2443.0,0.42395584162658617,4.0,
audeux,793.0,0.0,793.0,0.45782732392319514,4.0,
ecole-valentin,1112.0,0.0,1112.0,0.627418737617328,3.0,
routelle,472.0,0.0,472.0,0.38257298227083886,4.0,
gzier-et-fontenelay,3217.0,0.0,3217.0,0.38478592578246423,4.0,
chemaudin,2477.0,0.0,2477.0,0.45110711908937223,3.0,
villers-buzon,971.0,0.0,971.0,0.3662489351848127,4.0,
dannemarie-sur-crte,1349.0,0.0,1349.0,0.5235772610064168,3.0,
cordonnet,53.0,0.0,53.0,0.4748158724802845,4.0,
auxon-dessous,1964.0,0.0,1964.0,0.435045230655709,3.0,
mrey-vieilley,465.0,0.0,465.0,0.4336893389301915,4.0,
mazerolles-le-salin,1296.0,0.0,1296.0,0.3979273666570216,4.0,
trpot,2902.0,0.0,2902.0,0.4308750144700853,4.0,
saone,4535.0,0.0,4535.0,0.48002822017985114,3.0,
vaux-les-pres,1386.0,0.0,1386.0,0.40196366743607953,4.0,
