stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
vieilley,344.0,344.0,0.0,0.43574599332587666,4.0,
tuz,228.0,228.0,0.0,0.4463344707823636,4.0,
chalezeule,179.0,179.0,0.0,0.6284134507845234,3.0,
geneuille,472.0,472.0,0.0,0.5121522353867353,4.0,
morre,101.0,101.0,0.0,0.554002591879061,3.0,
venise,510.0,510.0,0.0,0.4703603707107843,4.0,
fontain,1135.0,1135.0,0.0,0.466462929343337,4.0,
deluz,287.0,287.0,0.0,0.5553828648158482,4.0,
bouclans,242.0,242.0,0.0,0.4233201082087745,4.0,
tarcenay,492.0,492.0,0.0,0.46675674314421367,4.0,
la chevillotte,662.0,662.0,0.0,0.49036040983171264,4.0,
buthiers,466.0,466.0,0.0,0.4073191630482162,4.0,
moncey,669.0,669.0,0.0,0.41029820919749627,4.0,
cromary,671.0,671.0,0.0,0.36496431035185356,4.0,
aulx-ls-cromary,299.0,299.0,0.0,0.43121883940935934,4.0,
pin,1263.0,1263.0,0.0,0.44366276273629257,4.0,
pouilley-franais,319.0,319.0,0.0,0.41799788041548297,3.0,
chaux-la-lotire,568.0,568.0,0.0,0.4808236243019641,4.0,
audeux,442.0,442.0,0.0,0.45340670072115385,4.0,
ecole-valentin,220.0,220.0,0.0,0.6908459056507458,3.0,
gzier-et-fontenelay,1976.0,1976.0,0.0,0.4039657839879333,4.0,
chemaudin,486.0,486.0,0.0,0.5576356487509645,3.0,
dannemarie-sur-crte,388.0,388.0,0.0,0.5906466454574743,3.0,
cordonnet,39.0,39.0,0.0,0.47213348975548375,4.0,
auxon-dessous,405.0,405.0,0.0,0.4512619206934799,3.0,
mrey-vieilley,171.0,171.0,0.0,0.4912630940041347,4.0,
mazerolles-le-salin,417.0,417.0,0.0,0.4826488540612822,4.0,
trpot,951.0,951.0,0.0,0.4509199685980218,4.0,
saone,1107.0,1107.0,0.0,0.49716878475750903,3.0,
vaux-les-pres,251.0,251.0,0.0,0.4254427298131692,4.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,13.0,13.0,0.0,0.4898434052100548,3.0,
chatillon-le-duc,31.0,31.0,0.0,0.5427969655682964,3.0,
pirey,60.0,60.0,0.0,0.6032437006632487,3.0,
pouligney-lusans,222.0,222.0,0.0,0.41335495957383167,4.0,
chaudefontaine,153.0,153.0,0.0,0.4638775594873366,4.0,
chaucenne,59.0,59.0,0.0,0.5612539517677436,4.0,
montferrand-le-chateau,58.0,58.0,0.0,0.6423044533565127,3.0,
franois,73.0,73.0,0.0,0.6366252115328018,3.0,
champoux,73.0,73.0,0.0,0.44051507401139767,4.0,
sorans-ls-breurey,77.0,77.0,0.0,0.46563274829418627,4.0,
osse,113.0,113.0,0.0,0.4551238338504217,4.0,
roche-lez-beaupre,31.0,31.0,0.0,0.5563524307743195,3.0,
recologne,44.0,44.0,0.0,0.49556875228881836,4.0,
rancenay,29.0,29.0,0.0,0.4911194505362675,4.0,
grandfontaine,100.0,100.0,0.0,0.5425106430053711,3.0,
corcelle-mieslot,101.0,101.0,0.0,0.4190242880641824,4.0,
braillans,90.0,90.0,0.0,0.46249317593044703,4.0,
velesmes-essarts,58.0,58.0,0.0,0.5751443402520542,3.0,
voray-sur-l'ognon,46.0,46.0,0.0,0.4165107478266177,4.0,
devecey,34.0,34.0,0.0,0.589155870325425,3.0,
rigney,3.0,3.0,0.0,0.5424957672754923,4.0,
serre-les-sapins,10.0,10.0,0.0,0.6722537517547608,3.0,
mamirolle,256.0,256.0,0.0,0.4811224043369293,3.0,
montfaucon,7.0,7.0,0.0,0.4251847948346819,3.0,
bonnevent-velloreille,48.0,48.0,0.0,0.4461682637532552,4.0,
magny,42.0,42.0,0.0,0.568887574332101,4.0,
montboillon,202.0,202.0,0.0,0.43239767244546723,4.0,
bussires,30.0,30.0,0.0,0.4195612589518229,4.0,
vennans,12.0,12.0,0.0,0.5093011856079102,4.0,
moncley,52.0,52.0,0.0,0.48352872408353365,4.0,
villers-grlot,36.0,36.0,0.0,0.4406779607137044,4.0,
chatillon-guyotte,88.0,88.0,0.0,0.3845456730235707,4.0,
vregille,58.0,58.0,0.0,0.4276333841784247,4.0,
champagney,81.0,81.0,0.0,0.5311827953950858,4.0,
thise,63.0,63.0,0.0,0.5592989845881386,3.0,
champlive,7.0,7.0,0.0,0.38208157675606863,4.0,
bonnay,65.0,65.0,0.0,0.42937035193810097,4.0,
boulot,65.0,65.0,0.0,0.49591974111703724,4.0,
nancray,185.0,185.0,0.0,0.4030635112040752,3.0,
miserey-salines,23.0,23.0,0.0,0.49600738027821417,3.0,
le gratteris,77.0,77.0,0.0,0.4140658440527978,4.0,
gennes,39.0,39.0,0.0,0.5099800794552534,4.0,
la veze,114.0,114.0,0.0,0.5169901262249863,4.0,
autoreille,4.0,4.0,0.0,0.4672676920890808,4.0,
franey,9.0,9.0,0.0,0.3948136435614692,4.0,
le puy,39.0,39.0,0.0,0.47408152849246293,4.0,
thurey-le-mont,3.0,3.0,0.0,0.5260297457377116,4.0,
vaire-arcier,41.0,41.0,0.0,0.44493107679413585,4.0,
placey,70.0,70.0,0.0,0.48151206970214844,4.0,
mrey-sous-montrond,16.0,16.0,0.0,0.5218439102172852,4.0,
palise,15.0,15.0,0.0,0.4184210459391276,4.0,
noironte,212.0,212.0,0.0,0.5345928264114091,4.0,
perrouse,76.0,76.0,0.0,0.4631705535085578,4.0,
larnod,68.0,68.0,0.0,0.4582835365744198,3.0,
pelousey,66.0,66.0,0.0,0.5071163177490234,3.0,
vaire-le-petit,6.0,6.0,0.0,0.5853789250055949,3.0,
naisey-les-granges,153.0,153.0,0.0,0.4255460851332721,4.0,
foucherans,20.0,20.0,0.0,0.5354810237884522,4.0,
chaleze,34.0,34.0,0.0,0.5343321070951574,3.0,
avanne-aveney,4.0,4.0,0.0,0.41151031851768494,3.0,
saint-vit,24.0,24.0,0.0,0.5755858818689982,3.0,
besancon,19.0,19.0,0.0,0.6406076832821495,2.0,
busy,5.0,5.0,0.0,0.42864089012145995,4.0,
auxon-dessus,25.0,25.0,0.0,0.496295280456543,3.0,
lavernay,24.0,24.0,0.0,0.2281332810719808,4.0,
champvans-les-moulins,59.0,59.0,0.0,0.4003175315210375,4.0,
boult,79.0,79.0,0.0,0.4630792835090734,4.0,
amagney,62.0,62.0,0.0,0.4318637232626638,4.0,
l'hpital-du-grosbois,29.0,29.0,0.0,0.5025592014707368,4.0,
torpes,4.0,4.0,0.0,0.5669694542884827,3.0,
cussey-sur-l'ognon,84.0,84.0,0.0,0.4749947048368908,4.0,
sauvagney,85.0,85.0,0.0,0.46524213903090533,4.0,
pugey,13.0,13.0,0.0,0.4452965076153095,4.0,
arguel,4.0,4.0,0.0,0.46295812726020813,4.0,
marchaux,235.0,235.0,0.0,0.4685840038543052,4.0,
pouilley-les-vignes,131.0,131.0,0.0,0.4791672684764134,3.0,
vieilley,57.0,57.0,0.0,0.4168076096919545,4.0,
tuz,26.0,26.0,0.0,0.440423451937162,4.0,
chalezeule,25.0,25.0,0.0,0.6610330200195312,3.0,
geneuille,72.0,72.0,0.0,0.5249214172363281,4.0,
morre,11.0,11.0,0.0,0.5921828530051492,3.0,
venise,85.0,85.0,0.0,0.4913796817555147,4.0,
fontain,192.0,192.0,0.0,0.48066282272338867,4.0,
deluz,49.0,49.0,0.0,0.5670595363694795,4.0,
bouclans,42.0,42.0,0.0,0.4439613251459031,4.0,
tarcenay,80.0,80.0,0.0,0.48324928283691404,4.0,
la chevillotte,113.0,113.0,0.0,0.5138038027603015,4.0,
buthiers,82.0,82.0,0.0,0.4216962209561976,4.0,
moncey,114.0,114.0,0.0,0.41716140613221286,4.0,
cromary,120.0,120.0,0.0,0.37757530212402346,4.0,
pin,227.0,227.0,0.0,0.45408798419431445,4.0,
aulx-ls-cromary,55.0,55.0,0.0,0.45388058749112214,4.0,
pouilley-franais,52.0,52.0,0.0,0.41434786869929385,3.0,
chaux-la-lotire,83.0,83.0,0.0,0.4985372704195689,4.0,
audeux,76.0,76.0,0.0,0.4628380223324424,4.0,
gzier-et-fontenelay,374.0,374.0,0.0,0.41389958998736215,4.0,
chemaudin,67.0,67.0,0.0,0.5980409650660273,3.0,
ecole-valentin,20.0,20.0,0.0,0.72669997215271,3.0,
dannemarie-sur-crte,47.0,47.0,0.0,0.5733056981512841,3.0,
cordonnet,7.0,7.0,0.0,0.49948157582964214,4.0,
auxon-dessous,55.0,55.0,0.0,0.4345592498779297,3.0,
mrey-vieilley,22.0,22.0,0.0,0.518271186135032,4.0,
mazerolles-le-salin,79.0,79.0,0.0,0.49958101103577435,4.0,
trpot,171.0,171.0,0.0,0.46842296221102886,4.0,
vaux-les-pres,38.0,38.0,0.0,0.4271950470773797,4.0,
saone,174.0,174.0,0.0,0.5050877099749685,3.0,
stat-discrete -- City,Total Cells,Stable cells,Unstable cells,average evaluation,typology of the city,
novillars,2.0,2.0,0.0,0.4289036989212036,3.0,
chatillon-le-duc,1.0,1.0,0.0,0.6943179368972778,3.0,
pirey,7.0,7.0,0.0,0.612593242100307,3.0,
pouligney-lusans,37.0,37.0,0.0,0.4384328996812975,4.0,
chaudefontaine,21.0,21.0,0.0,0.5071114131382534,4.0,
chaucenne,8.0,8.0,0.0,0.5977617502212524,4.0,
montferrand-le-chateau,6.0,6.0,0.0,0.7117141087849935,3.0,
franois,8.0,8.0,0.0,0.6576208472251892,3.0,
champoux,13.0,13.0,0.0,0.46559572219848633,4.0,
sorans-ls-breurey,14.0,14.0,0.0,0.4941927024296352,4.0,
osse,19.0,19.0,0.0,0.43762488114206416,4.0,
roche-lez-beaupre,4.0,4.0,0.0,0.578284740447998,3.0,
recologne,6.0,6.0,0.0,0.5582544803619385,4.0,
rancenay,3.0,3.0,0.0,0.5266164541244507,4.0,
grandfontaine,10.0,10.0,0.0,0.5784896850585938,3.0,
corcelle-mieslot,18.0,18.0,0.0,0.4688888125949436,4.0,
braillans,15.0,15.0,0.0,0.49137210845947266,4.0,
velesmes-essarts,7.0,7.0,0.0,0.552159036908831,3.0,
voray-sur-l'ognon,6.0,6.0,0.0,0.46735866864522296,4.0,
devecey,4.0,4.0,0.0,0.6288118362426758,3.0,
rigney,1.0,1.0,0.0,0.570159375667572,4.0,
mamirolle,41.0,41.0,0.0,0.5299383023890053,3.0,
montfaucon,1.0,1.0,0.0,0.3892771303653717,3.0,
bonnevent-velloreille,6.0,6.0,0.0,0.45818201700846356,4.0,
magny,5.0,5.0,0.0,0.603351354598999,4.0,
montboillon,32.0,32.0,0.0,0.4675765335559845,4.0,
bussires,3.0,3.0,0.0,0.43971137205759686,4.0,
vennans,2.0,2.0,0.0,0.5529016256332397,4.0,
moncley,5.0,5.0,0.0,0.5188555717468262,4.0,
chatillon-guyotte,13.0,13.0,0.0,0.413483216212346,4.0,
villers-grlot,5.0,5.0,0.0,0.4850934028625488,4.0,
vregille,6.0,6.0,0.0,0.44300981362660724,4.0,
champagney,15.0,15.0,0.0,0.5753607432047526,4.0,
thise,9.0,9.0,0.0,0.5923496882120768,3.0,
champlive,1.0,1.0,0.0,0.3560749292373657,4.0,
bonnay,5.0,5.0,0.0,0.4734655380249023,4.0,
boulot,8.0,8.0,0.0,0.5364841222763062,4.0,
nancray,26.0,26.0,0.0,0.4244680404663086,3.0,
miserey-salines,3.0,3.0,0.0,0.463001807530721,3.0,
le gratteris,13.0,13.0,0.0,0.46002879509559047,4.0,
gennes,3.0,3.0,0.0,0.5599716504414877,4.0,
la veze,17.0,17.0,0.0,0.5368503682753619,4.0,
franey,2.0,2.0,0.0,0.3950531482696533,4.0,
autoreille,1.0,1.0,0.0,0.5118508338928223,4.0,
le puy,7.0,7.0,0.0,0.5256528173174176,4.0,
vaire-arcier,6.0,6.0,0.0,0.46185143788655597,4.0,
placey,13.0,13.0,0.0,0.5336061991178073,4.0,
palise,1.0,1.0,0.0,0.4947287142276764,4.0,
mrey-sous-montrond,3.0,3.0,0.0,0.5495607852935791,4.0,
noironte,36.0,36.0,0.0,0.5775098270840116,4.0,
perrouse,12.0,12.0,0.0,0.47845566272735596,4.0,
pelousey,7.0,7.0,0.0,0.5486745493752616,3.0,
larnod,8.0,8.0,0.0,0.4533664584159851,3.0,
naisey-les-granges,30.0,30.0,0.0,0.46523863474527993,4.0,
foucherans,2.0,2.0,0.0,0.6044396162033081,4.0,
chaleze,5.0,5.0,0.0,0.5841666221618652,3.0,
saint-vit,2.0,2.0,0.0,0.6487245559692383,3.0,
busy,1.0,1.0,0.0,0.4414401650428772,4.0,
auxon-dessus,2.0,2.0,0.0,0.514082133769989,3.0,
lavernay,4.0,4.0,0.0,0.31087765097618103,4.0,
champvans-les-moulins,8.0,8.0,0.0,0.39884236454963684,4.0,
boult,10.0,10.0,0.0,0.4900533199310303,4.0,
amagney,9.0,9.0,0.0,0.4500849511888292,4.0,
l'hpital-du-grosbois,1.0,1.0,0.0,0.494932621717453,4.0,
torpes,1.0,1.0,0.0,0.6550871729850769,3.0,
cussey-sur-l'ognon,16.0,16.0,0.0,0.5315213203430176,4.0,
sauvagney,14.0,14.0,0.0,0.5136846474238804,4.0,
pugey,2.0,2.0,0.0,0.45463669300079346,4.0,
marchaux,38.0,38.0,0.0,0.5053369622481497,4.0,
pouilley-les-vignes,17.0,17.0,0.0,0.5027404672959271,3.0,
vieilley,7.0,7.0,0.0,0.44589573996407644,4.0,
tuz,3.0,3.0,0.0,0.4497973918914795,4.0,
chalezeule,1.0,1.0,0.0,0.7620377540588379,3.0,
geneuille,9.0,9.0,0.0,0.5537598927815756,4.0,
venise,11.0,11.0,0.0,0.5320120291276411,4.0,
fontain,26.0,26.0,0.0,0.5133169247553899,4.0,
deluz,7.0,7.0,0.0,0.6191590172903878,4.0,
bouclans,6.0,6.0,0.0,0.5125348965326945,4.0,
tarcenay,9.0,9.0,0.0,0.5178366237216525,4.0,
la chevillotte,15.0,15.0,0.0,0.5807746251424154,4.0,
buthiers,14.0,14.0,0.0,0.4523118223462786,4.0,
moncey,18.0,18.0,0.0,0.4495629204644097,4.0,
cromary,20.0,20.0,0.0,0.40010972023010255,4.0,
pin,42.0,42.0,0.0,0.48222564515613375,4.0,
aulx-ls-cromary,10.0,10.0,0.0,0.49266891479492186,4.0,
pouilley-franais,8.0,8.0,0.0,0.38764676451683044,3.0,
chaux-la-lotire,13.0,13.0,0.0,0.525921528155987,4.0,
audeux,9.0,9.0,0.0,0.4663079049852159,4.0,
ecole-valentin,1.0,1.0,0.0,0.8029812574386597,3.0,
gzier-et-fontenelay,67.0,67.0,0.0,0.45241099684985714,4.0,
chemaudin,6.0,6.0,0.0,0.6557071208953857,3.0,
dannemarie-sur-crte,6.0,6.0,0.0,0.5733466943105062,3.0,
cordonnet,1.0,1.0,0.0,0.5116214752197266,4.0,
auxon-dessous,9.0,9.0,0.0,0.4919651879204644,3.0,
mrey-vieilley,1.0,1.0,0.0,0.6144165396690369,4.0,
mazerolles-le-salin,14.0,14.0,0.0,0.5246900149754116,4.0,
trpot,24.0,24.0,0.0,0.4979216655095418,4.0,
saone,22.0,22.0,0.0,0.5330580364574086,3.0,
vaux-les-pres,5.0,5.0,0.0,0.432860279083252,4.0,
